step,temp,weight,cost,best_weight,sat_clauses,sat_clauses_best
464,265297,2560,-2526,4092,64,66
465,265297,2112,-2974,4092,61,66
466,265297,1940,-3146,4092,61,66
467,265297,2417,-2669,4092,62,66
468,265297,1940,-3146,4092,61,66
469,265297,1756,-3330,4092,61,66
470,265297,1964,-3122,4092,59,66
471,265297,1694,-3392,4092,57,66
472,265297,1968,-3118,4092,59,66
473,265297,2337,-2749,4092,57,66
474,265297,2523,-2563,4092,55,66
475,265297,2750,-2336,4092,53,66
476,265297,3223,-1863,4092,57,66
477,265297,2966,-2120,4092,60,66
478,265297,2489,-2597,4092,59,66
479,265297,2303,-2783,4092,60,66
480,265297,2106,-2980,4092,61,66
481,265297,2583,-2503,4092,62,66
482,265297,2853,-2233,4092,63,66
483,265297,2579,-2507,4092,62,66
484,265297,2309,-2777,4092,61,66
485,265297,2506,-2580,4092,60,66
486,265297,2780,-2306,4092,61,66
487,265297,2843,-2243,4092,60,66
488,265297,2366,-2720,4092,60,66
489,265297,2348,-2738,4092,57,66
490,265297,2520,-2566,4092,59,66
491,265297,2790,-2296,4092,60,66
492,265297,2974,-2112,4092,60,66
493,265297,3451,-1635,4092,61,66
494,265297,3267,-1819,4092,61,66
495,265297,3070,-2016,4092,61,66
496,259991,3319,-1767,4092,59,66
497,259991,2846,-2240,4092,58,66
498,259991,3323,-1763,4092,62,66
499,259991,3509,-1577,4092,64,66
500,259991,3337,-1749,4092,64,66
501,259991,3110,-1976,4092,65,66
502,259991,2818,-2268,4092,66,66
503,259991,2591,-2495,4092,68,66
504,259991,2222,-2864,4092,67,66
505,259991,1745,-3341,4092,65,66
506,259991,2222,-2864,4092,67,66
507,259991,2204,-2882,4092,67,66
508,259991,1727,-3359,4092,63,66
509,259991,1984,-3102,4092,58,66
510,259991,1727,-3359,4092,63,66
511,259991,1664,-3422,4092,64,66
512,259991,2141,-2945,4092,68,66
513,259991,2159,-2927,4092,68,66
514,259991,2632,-2454,4092,68,66
515,259991,2362,-2724,4092,69,66
516,259991,2619,-2467,4092,67,66
517,259991,2846,-2240,4092,66,66
518,259991,2369,-2717,4092,60,66
519,259991,2738,-2348,4092,58,66
520,259991,2935,-2151,4092,56,66
521,259991,2953,-2133,4092,58,66
522,259991,2935,-2151,4092,58,66
523,259991,3119,-1967,4092,58,66
524,259991,3137,-1949,4092,58,66
525,259991,2929,-2157,4092,59,66
526,259991,2911,-2175,4092,60,66
527,259991,3359,-1727,4092,62,66
528,259991,3586,-1500,4092,62,66
529,259991,3794,-1292,4092,60,66
530,259991,3857,-1229,4092,59,66
531,259991,3488,-1598,4092,58,66
532,259991,3506,-1580,4092,59,66
533,259991,3033,-2053,4092,56,66
534,259991,3303,-1783,4092,60,66
535,259991,3285,-1801,4092,59,66
536,259991,3303,-1783,4092,60,66
537,259991,3595,-1491,4092,61,66
538,259991,3964,-1122,4092,61,66
539,259991,3715,-1371,4092,62,66
540,259991,3529,-1557,4092,64,66
541,259991,3081,-2005,4092,60,66
542,259991,3063,-2023,4092,55,66
543,259991,2694,-2392,4092,57,66
544,259991,2420,-2666,4092,56,66
545,259991,2223,-2863,4092,56,66
546,259991,2205,-2881,4092,61,66
547,259991,2391,-2695,4092,59,66
548,259991,2665,-2421,4092,59,66
549,259991,2373,-2713,4092,57,66
550,259991,2622,-2464,4092,55,66
551,259991,2352,-2734,4092,53,66
552,259991,2095,-2991,4092,58,66
553,259991,2292,-2794,4092,57,66
554,259991,2065,-3021,4092,59,66
555,259991,1791,-3295,4092,58,66
556,259991,1314,-3772,4092,61,66
557,259991,1128,-3958,4092,61,66
558,259991,1601,-3485,4092,64,66
559,259991,1404,-3682,4092,64,66
560,259991,1631,-3455,4092,62,66
561,259991,1817,-3269,4092,62,66
562,259991,1631,-3455,4092,62,66
563,259991,1888,-3198,4092,61,66
564,259991,2158,-2928,4092,62,66
565,259991,1950,-3136,4092,64,66
566,259991,2147,-2939,4092,64,66
567,259991,1920,-3166,4092,65,66
568,259991,1693,-3393,4092,66,66
569,259991,2170,-2916,4092,66,66
570,259991,1697,-3389,4092,60,66
571,259991,1715,-3371,4092,60,66
572,259991,1652,-3434,4092,59,66
573,259991,1395,-3691,4092,61,66
574,259991,1458,-3628,4092,61,66
575,259991,1440,-3646,4092,62,66
576,259991,1458,-3628,4092,61,66
577,259991,1715,-3371,4092,60,66
578,259991,2007,-3079,4092,62,66
579,259991,2234,-2852,4092,61,66
580,259991,2711,-2375,4092,61,66
581,259991,2484,-2602,4092,62,66
582,259991,2214,-2872,4092,60,66
583,259991,1957,-3129,4092,61,66
584,259991,1480,-3606,4092,62,66
585,259991,1957,-3129,4092,61,66
586,259991,1773,-3313,4092,62,66
587,259991,1524,-3562,4092,61,66
588,259991,1542,-3544,4092,62,66
589,259991,1990,-3096,4092,62,66
590,259991,2239,-2847,4092,63,66
591,259991,1947,-3139,4092,61,66
592,259991,2155,-2931,4092,61,66
593,259991,2628,-2458,4092,64,66
594,259991,2997,-2089,4092,66,66
595,254791,3181,-1905,4092,64,66
596,254791,3455,-1631,4092,65,66
597,254791,3437,-1649,4092,64,66
598,254791,3694,-1392,4092,65,66
599,254791,3866,-1220,4092,65,66
600,254791,3393,-1693,4092,61,66
601,254791,3330,-1756,4092,63,66
602,254791,3348,-1738,4092,63,66
603,254791,3164,-1922,4092,66,66
604,254791,3434,-1652,4092,68,66
605,254791,3416,-1670,4092,68,66
606,254791,3602,-1484,4092,67,66
607,254791,4075,-1011,4092,68,66
608,254791,3602,-1484,4092,67,66
609,254791,3829,-1257,4092,67,66
610,254791,3555,-1531,4092,65,66
611,254791,3618,-1468,4092,65,66
612,254791,3369,-1717,4092,65,66
613,254791,3112,-1974,4092,64,66
614,254791,2664,-2422,4092,62,66
615,254791,2956,-2130,4092,63,66
616,254791,3404,-1682,4092,65,66
617,254791,3177,-1909,4092,65,66
618,254791,3114,-1972,4092,65,66
619,254791,2745,-2341,4092,63,66
620,254791,2808,-2278,4092,63,66
621,254791,2745,-2341,4092,63,66
622,254791,2763,-2323,4092,63,66
623,254791,2555,-2531,4092,63,66
624,254791,2383,-2703,4092,65,66
625,254791,2555,-2531,4092,63,66
626,254791,2739,-2347,4092,62,66
627,254791,2966,-2120,4092,62,66
628,254791,2489,-2597,4092,60,66
629,254791,2697,-2389,4092,60,66
630,254791,2249,-2837,4092,58,66
631,254791,1772,-3314,4092,57,66
632,254791,2220,-2866,4092,58,66
633,254791,1950,-3136,4092,56,66
634,254791,2423,-2663,4092,58,66
635,254791,2131,-2955,4092,57,66
636,254791,1683,-3403,4092,56,66
637,254791,1975,-3111,4092,57,66
638,254791,2249,-2837,4092,58,66
639,254791,2726,-2360,4092,59,66
640,254791,2975,-2111,4092,57,66
641,254791,2957,-2129,4092,57,66
642,254791,2785,-2301,4092,62,66
643,254791,3154,-1932,4092,62,66
644,254791,2946,-2140,4092,63,66
645,254791,2473,-2613,4092,60,66
646,254791,2743,-2343,4092,63,66
647,254791,2546,-2540,4092,65,66
648,254791,3023,-2063,4092,65,66
